cast_id,steel_grade,defect_label,defect_triggers,avg_casting_speed,avg_mold_temperature,avg_mold_level,generation_timestamp
cast_0001,Grade_A,0,rapid_temperature_drop,1.2021920028611948,1520.4086804167068,149.87197564094714,2025-07-21T00:39:17.076838
cast_0002,Grade_B,0,rapid_temperature_drop,1.2008006618111302,1519.2748363671224,149.64101123605158,2025-07-21T00:39:17.100662
cast_0003,Grade_A,0,rapid_temperature_drop,1.2005857892414011,1520.4787600255809,149.76886233910162,2025-07-21T00:39:17.114434
cast_0004,Grade_C,0,rapid_temperature_drop,1.2008683593250726,1520.6371997803212,149.95947545857047,2025-07-21T00:39:17.127291
cast_0005,Grade_D,0,rapid_temperature_drop,1.194899848297186,1518.998694526673,150.4131538718773,2025-07-21T00:39:17.139543
cast_0006,Grade_D,0,rapid_temperature_drop,1.199963648440536,1519.749757212429,149.89295000175966,2025-07-21T00:39:17.151866
cast_0007,Grade_C,0,rapid_temperature_drop,1.2035130995105694,1519.0940734788098,149.78439657426912,2025-07-21T00:39:17.163922
cast_0008,Grade_D,1,rapid_temperature_drop,1.20134322898396,1520.45832263411,149.9217186817483,2025-07-21T00:39:17.176146
cast_0009,Grade_A,0,,1.1963312461147415,1519.722736406672,150.02819323494526,2025-07-21T00:39:17.187998
cast_0010,Grade_C,1,rapid_temperature_drop,1.1991591273583466,1520.1892770225027,149.86148417338583,2025-07-21T00:39:17.199788
cast_0011,Grade_D,0,,1.2027361116809796,1519.0062642122282,150.1170862754987,2025-07-21T00:39:17.212221
cast_0012,Grade_A,0,rapid_temperature_drop,1.1952385959891862,1519.578879642707,150.3936255747653,2025-07-21T00:39:17.221305
cast_0013,Grade_D,1,rapid_temperature_drop,1.2010859860772427,1520.4046034790786,149.96736017853794,2025-07-21T00:39:17.230629
cast_0014,Grade_C,0,rapid_temperature_drop,1.2004899377605522,1520.9224249703523,149.73531178104886,2025-07-21T00:39:17.239587
cast_0015,Grade_C,1,rapid_temperature_drop,1.1998480261067126,1520.2652467524617,150.2363467868829,2025-07-21T00:39:17.248512
cast_0016,Grade_D,0,rapid_temperature_drop,1.2001250892234687,1518.9879192721678,150.09009520898428,2025-07-21T00:39:17.257376
cast_0017,Grade_D,0,,1.200856910318589,1519.732075251925,149.8587059123139,2025-07-21T00:39:17.266251
cast_0018,Grade_D,0,rapid_temperature_drop,1.2036091491689715,1520.252123983754,149.6272654442023,2025-07-21T00:39:17.275310
cast_0019,Grade_B,0,rapid_temperature_drop,1.1993304659227537,1519.42848279446,150.27261955178932,2025-07-21T00:39:17.284488
cast_0020,Grade_C,0,rapid_temperature_drop,1.2011307630611283,1520.597622930924,150.0946595280505,2025-07-21T00:39:17.293672
cast_0021,Grade_C,1,rapid_temperature_drop,1.2004120668038756,1519.545550719992,150.24492820099272,2025-07-21T00:39:17.302981
cast_0022,Grade_B,0,rapid_temperature_drop,1.1993792903887277,1520.0353964351962,150.0640348310149,2025-07-21T00:39:17.312302
cast_0023,Grade_D,0,,1.2012333417375805,1519.881169713273,149.80271231010084,2025-07-21T00:39:17.321770
cast_0024,Grade_C,0,,1.2010829938037977,1520.140612050362,150.036037498479,2025-07-21T00:39:17.331154
cast_0025,Grade_B,0,,1.1957921558635018,1520.1439835433537,149.6123411555618,2025-07-21T00:39:17.340432
cast_0026,Grade_D,0,rapid_temperature_drop,1.2028248436675768,1520.5672853048097,149.93920561791887,2025-07-21T00:39:17.349536
cast_0027,Grade_A,1,rapid_temperature_drop,1.199964168436394,1520.2490396954822,149.99106162415208,2025-07-21T00:39:17.358743
cast_0028,Grade_A,0,rapid_temperature_drop,1.2039025019134644,1519.3579954313693,149.62958324762798,2025-07-21T00:39:17.367724
cast_0029,Grade_B,0,rapid_temperature_drop,1.2007367077636397,1520.4555726765816,149.79739140067548,2025-07-21T00:39:17.376823
cast_0030,Grade_C,1,rapid_temperature_drop,1.2000400133977187,1520.1214958134253,149.82743776040022,2025-07-21T00:39:17.385872
cast_0031,Grade_C,0,rapid_temperature_drop,1.205006568140338,1520.471125199743,149.9400892440681,2025-07-21T00:39:17.395128
cast_0032,Grade_B,0,rapid_temperature_drop,1.203843617988899,1521.1824749857321,149.48713064167,2025-07-21T00:39:17.404281
cast_0033,Grade_D,0,rapid_temperature_drop,1.2016301370699471,1520.1323263876843,150.0987390042126,2025-07-21T00:39:17.413674
cast_0034,Grade_D,0,rapid_temperature_drop,1.1973173039217295,1519.4231505884427,150.21983254079123,2025-07-21T00:39:17.422926
cast_0035,Grade_C,0,rapid_temperature_drop,1.1985517035769626,1519.7389759754285,149.74233918920933,2025-07-21T00:39:17.432179
cast_0036,Grade_A,0,rapid_temperature_drop,1.200620856680314,1520.7614918780712,150.03582713291578,2025-07-21T00:39:17.441787
cast_0037,Grade_C,0,rapid_temperature_drop,1.1962846842020096,1520.3983174843854,150.48820119923892,2025-07-21T00:39:17.451582
cast_0038,Grade_B,0,rapid_temperature_drop,1.1980547688269958,1520.2650793116927,150.31930139022074,2025-07-21T00:39:17.461244
cast_0039,Grade_B,0,rapid_temperature_drop,1.1983736759554797,1519.98701965156,150.04786477132416,2025-07-21T00:39:17.470863
cast_0040,Grade_A,0,rapid_temperature_drop,1.1992954159422973,1520.0240714924819,149.80440006863077,2025-07-21T00:39:17.480148
cast_0041,Grade_A,0,rapid_temperature_drop,1.1986341602575983,1520.533448644781,149.99435104345795,2025-07-21T00:39:17.489474
